鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
文山區,房地(土地+建物),臺北市文山區木柵路三段85巷23弄10號6樓,20.01,商,,,1071204,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,790724.0,117.93,3,2,2,有,有,16600000,140761.0,,0.0,0,含增建或未登記建物。；內含獨立產權公設，未包含在棟數內。,RPQNMLNKKHOFFAA27CA,97.33,0.0,10.79,,,13.0
文山區,房地(土地+建物),臺北市文山區汀州路四段１４０巷２弄１１號,51.25,住,,,1080109,土地1建物1車位0,平台，一層,四層,公寓(5樓含以下無電梯),,鋼筋混凝土造,,115.17,5,2,2,有,無,21600000,187549.0,,0.0,0,,RPXNMLNKKHOFFAA97CA,115.17,0.0,0.0,,,4.0
文山區,房地(土地+建物),臺北市文山區溪洲街１２號２樓之４,22.77,住,,,1080106,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,600830.0,61.28,2,2,1,有,無,8550000,139523.0,,0.0,0,親友、員工或其他特殊關係間之交易。；親友、員工或其他特殊關係間之交易。,RPROMLNKKHOFFAA47CA,61.28,0.0,0.0,,,5.0
中正區,房地(土地+建物),臺北市中正區南昌路二段７０號二樓之６,4.05,商,,,1071225,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,711111.0,53.51,2,1,1,有,有,12750000,238273.0,,0.0,0,含增建或未登記建物。；,RPPNMLSKKHOFFAA67CA,35.46,0.0,6.24,,,12.0
文山區,車位,臺北市文山區辛亥路六段３１號,1.19,住,,,1080123,土地0建物0車位2,一層,十四層,其他,見其他登記事項,鋼筋混凝土造,970521.0,86.92,0,0,0,有,有,3350000,,坡道平面,86.92,3350000,單獨車位交易。；,RPWOMLSKKHOFFAA48CA,0.0,0.0,0.0,,,14.0
文山區,房地(土地+建物),臺北市文山區萬安街４４巷１０號六樓之５,48.0,住,,,1080122,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,720728.0,82.35,2,1,1,有,有,9100000,110504.0,,0.0,0,親友、員工或其他特殊關係間之交易。；二親等間買賣,RPVNMLTKKHOFFAA38CA,57.22,0.0,7.11,,,7.0
文山區,車位,臺北市文山區福興路１０２號,0.13,住,,,1071219,土地0建物0車位1,一層,九層,其他,住家用,鋼筋混凝土造,910912.0,30.13,0,0,0,有,有,1500000,,坡道平面,0.0,1500000,,RPPNMLQLKHOFFAA57CA,0.0,0.0,0.0,,,9.0
萬華區,房地(土地+建物),臺北市萬華區貴陽街二段３９號七樓之３,9.94,商,,,1071230,土地1建物1車位0,七層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061127.0,123.12,3,2,2,有,有,26680000,216699.0,,0.0,0,,RPPPMLLKKHOFFBA27CA,79.03,2.38,6.05,,,19.0
萬華區,房地(土地+建物)+車位,臺北市萬華區桂林路１２８號１２樓之２,14.29,商,,,1071105,土地1建物1車位1,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050307.0,203.31,3,2,2,有,有,30160000,170308.0,坡道平面,42.66,2800000,,RPQNMLPKKHOFFBA57CA,95.71,5.33,8.8,,,21.0
萬華區,房地(土地+建物),臺北市萬華區德昌街１８５巷６０弄１２號,24.0,住,,,1080123,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,加強磚造,,41.2,2,1,1,有,無,3650000,88592.0,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLQKKHOFFBA77CA,41.2,0.0,0.0,,,2.0
大同區,房地(土地+建物),臺北市大同區重慶北路二段１５０號四樓,18.03,商,,,1080115,土地1建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129.0,173.55,4,2,2,有,有,34900000,201095.0,,0.0,0,,RPTPMLQJLHOFFBA18CA,111.71,0.0,7.75,,,14.0
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１５０號十樓之３,18.84,商,,,1080115,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129.0,218.61,4,2,2,有,有,41280000,219608.0,坡道平面,45.21,3200000,,RPTPMLSJLHOFFBA38CA,111.67,0.0,7.75,,,14.0
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１５０號五樓之３,18.84,商,,,1080115,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129.0,218.61,4,2,2,有,有,38200000,207036.0,坡道平面,45.21,2300000,,RPXPMLSJLHOFFBA78CA,111.67,0.0,7.75,,,14.0
大同區,房地(土地+建物)+車位,臺北市大同區重慶北路二段１５０號十一樓之２,9.82,商,,,1080115,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071129.0,135.48,2,2,1,有,有,22780000,226875.0,坡道平面,45.21,2300000,,RPQQMLSJLHOFFBA18CA,55.82,0.0,7.46,,,14.0
