鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
南區,房地(土地+建物),臺中市南區忠明南路1305巷1弄5號,72.0,住,,,1071231,土地2建物1車位0,全,二層,透天厝,住家用,見其他登記事項,571019.0,89.8,6,0,6,有,無,6200000,69042.0,,0.0,0,,RPXNMLNKKHOFFAB08CA,89.8,0.0,0.0,,,2.0
南區,房地(土地+建物),臺中市南區正義街１５３號,81.0,住,,,1071212,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,580129.0,127.61,3,1,1,有,無,8400000,65826.0,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；屋齡50年無翻修,RPPNMLOKKHOFFAB37CA,127.61,0.0,0.0,,,2.0
南區,房地(土地+建物),臺中市南區工學一街１６７巷２２號６樓之３,10.98,住,,,1080123,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,870930.0,65.94,2,1,1,有,有,3380000,51259.0,,0.0,0,,RPSOMLPKKHOFFAB87CA,47.23,0.0,4.62,,,12.0
北區,房地(土地+建物),臺中市北區忠明路２１１號５樓之４,5.08,住,,,1080114,土地1建物1車位0,五層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,830810.0,53.34,1,0,1,有,有,2530000,47432.0,,0.0,0,含增建或未登記建物。；,RPVNMLMKKHOFFBB87CA,28.92,0.0,5.41,,,12.0
北區,房地(土地+建物),臺中市北區榮華街１５巷１之４號,25.93,住,,,1071218,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680326.0,79.83,4,0,4,有,無,4580000,57372.0,,0.0,0,含增建或未登記建物。；,RPXNMLMKKHOFFBB08CA,67.74,0.0,12.09,,,5.0
北區,房地(土地+建物),臺中市北區梅亭街５１５號,14.0,住,,,1080109,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,600120.0,139.18,2,1,2,有,無,4500000,32332.0,,0.0,0,親友、員工或其他特殊關係間之交易。；包含公共設施保留地之交易。；,RPUOMLMKKHOFFBB87CA,139.18,0.0,0.0,,,2.0
北區,房地(土地+建物),臺中市北區德化街１１９號,24.81,住,,,1071227,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,680718.0,82.44,0,0,0,無,無,4950000,60044.0,,0.0,0,含增建或未登記建物。；,RPVOMLMKKHOFFBB97CA,82.44,0.0,0.0,,,5.0
北區,建物,臺中市北區五權路３５６號,0.0,,,,1080124,土地0建物1車位0,六層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,651122.0,22.54,1,0,1,有,無,650000,28838.0,,0.0,0,,RPQNMLNKKHOFFBB47CA,22.54,0.0,0.0,,,10.0
北區,房地(土地+建物)+車位,臺中市北區漢口路三段５５巷２７號,77.56,住,,,1071224,土地3建物1車位1,全,五層,透天厝,住家用,鋼筋混凝土造,900120.0,250.57,5,2,3,有,無,16000000,63854.0,坡道平面,14.98,0,,RPUOMLNKKHOFFBB97CA,174.32,0.0,5.91,,,5.0
北區,房地(土地+建物),臺中市北區東成路４７巷６號３樓之１３,14.68,住,,,1071229,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,821028.0,109.44,3,2,2,有,有,4500000,41118.0,,0.0,0,,RPXNMLOKKHOFFBB28CA,85.23,0.0,12.68,,,12.0
