鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
板橋區,房地(土地+建物),新北市板橋區民生路三段246號16樓,7.83,住,,,1071214,土地2建物1車位0,十六層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850120.0,137.68,4,2,2,有,有,14250000,103501.0,,0.0,0,含增建或未登記建物。,RPTNMLNKKHOFFAF08CA,109.02,0.0,13.33,,,26.0
土城區,房地(土地+建物),新北市土城區學府路一段１２２之３號十七樓,5.75,住,,,1071224,土地1建物1車位0,十七層,十八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,840524.0,31.47,0,0,0,無,有,3800000,120750.0,,0.0,0,,RPUOMLLKKHOFFAF08CA,19.72,0.0,3.17,,,18.0
土城區,房地(土地+建物),新北市土城區南天母路137之3號九樓,29.22,,山坡地保育區,丙種建築用地,1080111,土地1建物1車位0,通道，九層，十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,790730.0,115.28,3,2,2,有,有,5100000,44240.0,,0.0,0,,RPQNMLMKKHOFFAF67CA,87.0,0.0,11.34,,,12.0
板橋區,房地(土地+建物),新北市板橋區大觀路二段７９巷２弄１４之２號,29.64,住,,,1080111,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640306.0,89.54,3,2,1,有,無,6960000,77731.0,,0.0,0,,RPUNMLMKKHOFFAF08CA,74.4,0.0,15.14,,,4.0
板橋區,房地(土地+建物),新北市板橋區縣民大道三段７９巷２號,23.0,住,,,1070615,土地1建物1車位0,平台，一層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,71.62,2,1,1,有,無,3505800,48950.0,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPRPMLTKKHOFFAF68CA,71.62,0.0,0.0,,,4.0
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段３６０號二十三樓之１３,6.88,住,,,1071215,土地1建物2車位3,二十三層,四十層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,990715.0,186.07,0,0,0,無,有,22700000,121997.0,坡道平面,101.1,0,,RPUOMLMLKHOFFAF28CA,45.86,0.0,10.06,,,
板橋區,房地(土地+建物),新北市板橋區華江一路１９２號十六樓,8.08,商,,,1050813,土地1建物1車位0,十六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227.0,108.76,3,2,2,有,有,14900000,136999.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPUNMLQLKHOFFAF58CA,59.28,7.1,7.03,,,19.0
板橋區,房地(土地+建物),新北市板橋區華江一路２０８號十七樓,4.41,商,,,1050728,土地1建物1車位0,十七層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227.0,57.58,0,0,0,無,有,8050000,139805.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPUPMLQLKHOFFAF78CA,32.71,0.0,5.58,,,19.0
板橋區,房地(土地+建物),新北市板橋區華江一路２１２號六樓,7.34,商,,,1050714,土地1建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227.0,95.25,0,0,0,無,有,11530000,121050.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPURMLQLKHOFFAF98CA,54.95,3.33,5.06,,,19.0
板橋區,房地(土地+建物),新北市板橋區華江一路２０８號十一樓,4.41,商,,,1050728,土地1建物1車位0,十一層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227.0,57.58,0,0,0,無,有,7450000,129385.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPTPNLQLKHOFFAF78CA,32.71,0.0,5.58,,,19.0
板橋區,房地(土地+建物),新北市板橋區華江一路１８０號十四樓,8.81,商,,,1060313,土地1建物1車位0,十四層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227.0,114.89,0,0,0,無,有,15990000,139177.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPWRNLQLKHOFFAF66CA,62.67,8.33,6.55,,,19.0
板橋區,房地(土地+建物),新北市板橋區華江一路１８６號九樓,5.51,商,,,1050712,土地1建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1071227.0,73.26,0,0,0,無,有,10190000,139094.0,,0.0,0,土地及建物分次登記案件。前案土地登記收件字號：；,RPROMLRLKHOFFAF48CA,42.73,1.62,5.1,,,19.0
