鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
桃園區,房地(土地+建物),桃園市桃園區大同路１１２號六樓之５,24.51,住,,,1071227,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,741126.0,129.04,3,2,2,有,有,6750000,52309.0,,0.0,0,,RPPPMLLKKHOFFAH87CA,108.58,0.0,13.36,,,7.0
桃園區,房地(土地+建物),桃園市桃園區同安街６５６號七樓,14.06,住,,,1071226,土地1建物1車位0,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,880501.0,125.46,4,2,2,有,有,7500000,59780.0,,0.0,0,,RPRNMLMKKHOFFAH97CA,86.42,2.11,9.73,,,16.0
桃園區,房地(土地+建物),桃園市桃園區永安北路４４１號四樓,15.79,住,,,1080112,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,830303.0,83.76,3,2,1,有,無,4130000,49308.0,,0.0,0,車位輪抽,RPQOMLOKKHOFFAH18CA,54.87,0.56,3.38,,,7.0
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路３８５巷１０８號八樓,28.61,住,,,1071214,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070515.0,163.52,3,2,2,有,有,10300000,74315.0,坡道平面,43.76,1400000,,RPTNMLSKKHOFFAH78CA,70.35,3.11,7.99,,,11.0
桃園區,房地(土地+建物)+車位,桃園市桃園區幸福路270號八樓,11.67,商,,,1080119,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051102.0,124.02,2,2,2,有,有,8500000,75797.0,坡道平面,28.37,1250000,,RPTNMLOJLHOFFAH38CA,58.41,1.78,4.67,,,15.0
桃園區,房地(土地+建物)+車位,桃園市桃園區力行路291號十樓,19.37,住,,,1080105,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124.0,143.74,3,2,2,有,有,10300000,76758.0,坡道平面,27.14,1350000,,RPRNMLOJLHOFFAH18CA,69.34,4.08,6.99,,,13.0
桃園區,房地(土地+建物)+車位,桃園市桃園區同安街６６２之８號,21.97,住,,,1071223,土地1建物1車位1,一層,十層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,830713.0,144.65,2,2,2,有,有,7680000,53094.0,坡道平面,0.0,0,,RPPNMLPJLHOFFAH08CA,90.91,11.17,0.0,,,10.0
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1394號十一樓之四,15.21,住,,,1071124,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,830803.0,154.22,3,2,2,有,有,8800000,57061.0,坡道平面,0.0,0,,RPXOMLPJLHOFFAH98CA,104.77,0.0,10.98,,,16.0
桃園區,房地(土地+建物)+車位,桃園市桃園區大業路一段８０號九樓,14.97,住,,,1071215,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,930915.0,116.8,2,2,1,有,有,6800000,58219.0,坡道平面,0.0,0,,RPPOMLSJLHOFFAH48CA,47.96,0.0,6.38,,,9.0
桃園區,房地(土地+建物),桃園市桃園區大有路５１６號十三樓,16.34,住,,,1071230,土地1建物1車位0,十三層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840419.0,159.17,3,2,2,有,有,6800000,42722.0,,0.0,0,,RPSNMLNKLHOFFAH28CA,107.1,10.11,12.87,,,17.0
中壢區,房地(土地+建物)+車位,桃園市中壢區福州二街502之1號三樓,16.67,住,,,1071219,土地1建物1車位1,三層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,911028.0,134.99,3,2,2,有,有,6300000,46670.0,升降平面,0.0,0,,RPPPMLMKKHOFFBH08CA,66.82,1.61,13.08,,,10.0
中壢區,房地(土地+建物)+車位,桃園市中壢區陸光五街１７號四樓,27.54,住,,,1071212,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,911114.0,172.49,3,2,2,有,有,7000000,40582.0,坡道平面,0.0,0,,RPRNMLKLKHOFFBH97CA,94.21,0.0,12.84,,,14.0
中壢區,房地(土地+建物)+車位,桃園市中壢區育樂路32之2號十一樓,27.65,住,,,1080122,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070822.0,125.89,2,2,1,有,有,8150000,73653.0,坡道平面,36.96,1600000,,RPVNMLOJLHOFFBH68CA,54.56,4.44,4.79,,,13.0
中壢區,房地(土地+建物)+車位,桃園市中壢區育樂路36號之1號,38.54,住,,,1080122,土地1建物1車位1,一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070822.0,155.9,3,2,2,有,有,9800000,69645.0,坡道平面,38.16,1600000,,RPWNMLOJLHOFFBH78CA,71.08,0.0,11.66,,,13.0
